UT	Glat	Glon	Radius	Dst	Kp	E22.7-29.8eV	E29.8-39.2eV	E39.2-51.5eV	E51.5-67.7eV	E67.7-88.9eV	E88.9-115.0eV	E115.0-151.0eV	E151.0-196.0eV	E196.0-259.0eV	E259.0-342.0eV	E342.0-447.0eV	E447.0-593.0eV	E593.0-776.0eV	E.776-1.03keV	E1.03-1.35kev	E1.35-1.77keV	E1.77-2.31keV	E2.31-3.05keV	E3.05-4.00keV	E4.00-5.28keV	E5.28-6.94keV	E6.94-9.12keV	E9.12-12.0keV	E12.0-15.8keV	E15.8-20.7keV	E20.7-27.3keV	E27.3-35.8keV	E35.8-47.1keV	E50-75keV	E75-105keV	E105-150keV	E150-225keV	E225-315keV	E315-500keV	E500-750keV	E0.75-1.1MeV	E1.1-1.5MeV	E>1.5MeV	E0.7-1.8MeV	E1.8-3.5MeV	E3.5-6.0MeV	E6.0-7.8MeV	E7.8-10.8	E10.8-25.8	P0.70-1.27eV	P1.27-2.3eV	P2.3-3.3eV	P3.3-3.9eV	P3.94.8eV	P4.8-6.1eV	P6.1-8.1eV	P8.1-10.5eV	P10.5-12.3eV	P12.3-15.8eV	P15.8-20.4eV	P20.4-26.2eV	P26.2-33.1eV	P33.1-42.7eV	P42.7-55.6eV	P55.6-72.2	P72.2-93.6eV	P93.6-124.0eV	P124.0-161.0eV	P161.0-211.0eV	P211.0-276.0eV	P276.0-365.0eV	P365.0-480.0eV	P480.0-626.0eV	P626.0-825.0eV	P.825-1.090keV	P1.09-1.42keV	P1.42-1.87keV	P1.87-2.45keV	P2.45-3.20keV	P3.20-4.20keV	P4.20-5.53keV	P5.53-7.26keV	P7.26-9.53keV	P9.53-12.5keV	P12.5-16.4keV	P16.4-21.6keV	P21.6-28.3keV	P28.3-37.1keV	P37.1-48.7keV	P50-75keV	P75-113keV	P113-170keV	P170-250keV	P250-400keV	P400-670keV	P0.67-1.2MeV	P1.2-1.9MeV	P1.9-3.1MeV	P3.1-5.0MeV	P5.0-7.7MeV	P7.7-50.0MeV	P11-14MeV	P14-20MeV	P>20Mev	DENLP	DENHP	DENHE	TPARHP	TPERHP	TPARHE	TPERHE	THETA_P	PHI_P	THETA_E	PHI_E	SC_POTEN
0.040800	0.294610	103.710000	6.616900 -60	3.0	3.9656e+08	1.9575e+08	1.6337e+08	1.1988e+08	1.1283e+08	8.8876e+07	6.2484e+07	5.7216e+07	4.395e+07	3.3885e+07	2.6977e+07	2.2406e+07	1.7802e+07	1.1463e+07	8.868e+06	8.2264e+06	5.6791e+06	4.8311e+06	4.1459e+06	3.7975e+06	3.359e+06	2.9507e+06	2.2928e+06	1.8944e+06	1.6378e+06	1.1955e+06	688990	171000	219236	44557.1	18614.2	9933.79	4610.95	2023.93	827.743	346.209	137.836	63.958	90.5981	7.75646	0.227588	0.0126532	0.00164555	0.00138368	1.6337e+08	1.6655e+08	1.7272e+07	1.6516e+07	3.5608e+07	2.4144e+07	3.2001e+07	6.4321e+06	1.1492e+07	1.3628e+07	1.1894e+07	1.0768e+07	8.4519e+06	1.3554e+07	4.6196e+06	5.7944e+06	-999	2.0864e+06	1.255e+06	1.3456e+06	1.1242e+06	1.0388e+06	645670	705530	796450	588770	158130	254090	266660	153560	216850	188100	195990	163590	61617	35883	44804	55326	56024	60536	129868	10317.2	1762.72	448.457	72.288	422.813	18.0176	4.749	0.324713	0.110639	0.0958951	0.010343	-999	-999	-999	2.0101	0.81814	0.73896	3989.6	3787.3	1311.7	1777.3	14.403	50.085	115.77	-15.131	-2.5977	
0.064700	0.295970	103.710000	6.616900 -60	3.0	3.8072e+08	1.813e+08	1.5833e+08	1.2383e+08	1.1247e+08	8.9338e+07	7.0276e+07	5.8001e+07	4.5943e+07	3.7716e+07	2.7717e+07	2.0312e+07	1.3681e+07	1.034e+07	9.1878e+06	8.1092e+06	6.2476e+06	4.8115e+06	4.2166e+06	3.7567e+06	3.4881e+06	3.086e+06	2.3952e+06	1.8661e+06	1.6379e+06	1.2883e+06	622660	171830	216600	43942.5	18490.5	9966.84	4602.97	2030.09	831.338	355.968	137.091	63.6786	90.9858	7.80211	0.226851	0.0131207	0.00170165	0.00130514	2.3877e+08	1.0409e+08	7.7723e+07	6.2761e+07	-999	-999	2.358e+07	6.4321e+06	1.1492e+07	1.0221e+07	7.2685e+06	1.3331e+07	7.647e+06	4.0976e+06	5.1059e+06	2.9906e+06	4.1759e+06	2.0864e+06	2.4263e+06	1.9223e+06	1.7595e+06	1.2985e+06	1.0668e+06	791050	585150	233060	279060	211740	213330	278830	219910	211040	180520	123660	51990	35883	30936	52560	64486	69338	126838	10320.2	1779.11	442.555	74.0303	407.615	19.1225	3.87743	0.287271	0.11124	0.082067	0.0108542	-999	-999	-999	1.1768	0.76756	0.72772	4223.6	3896.4	1299.3	1785.2	19.294	-13.33	115.48	-11.208	-5.8485	
0.088600	0.297320	103.710000	6.616900 -60	3.0	3.739e+08	1.6722e+08	1.4296e+08	1.0729e+08	1.0695e+08	9.0876e+07	6.8583e+07	5.8787e+07	4.722e+07	3.5878e+07	2.5327e+07	1.6883e+07	1.2746e+07	1.0726e+07	9.6325e+06	8.0835e+06	6.3754e+06	4.6094e+06	4.4847e+06	3.4325e+06	3.2699e+06	3.1307e+06	2.4313e+06	1.9032e+06	1.5258e+06	1.2062e+06	601370	182040	215089	43642.9	18549.3	10050.5	4627.24	2046.92	831.264	366.7	136.699	62.7496	91.3559	7.85659	0.230074	0.0125909	0.00175775	0.00132758	3.6445e+08	8.3273e+07	-999	2.6426e+07	3.8347e+07	1.5364e+07	6.7371e+06	1.6723e+07	6.2683e+06	851740	8.59e+06	1.6408e+07	1.3684e+07	1.1032e+07	2.6745e+06	2.4299e+06	2.7359e+06	1.9766e+06	1.757e+06	832980	1.0753e+06	556500	617600	427600	260060	245320	223250	225860	202660	210140	171040	130750	199430	114640	51027	34447	37870	59278	55441	61395	126175	10474.7	1781.98	441.615	72.9403	407.656	18.8189	3.51613	0.286931	0.11124	0.103059	0.011249	-999	-999	-999	1.3437	0.65133	0.71221	4145.3	4726.3	1322.6	1809.3	94.284	-11.998	115.74	-6.7498	-5.3084	
0.112500	0.298680	103.710000	6.616900 -60	3.0	3.0384e+08	1.683e+08	1.2797e+08	1.1197e+08	1.013e+08	8.7042e+07	6.3673e+07	5.1556e+07	3.9206e+07	3.074e+07	2.3935e+07	1.8072e+07	1.4815e+07	1.0716e+07	9.7639e+06	7.8604e+06	5.9781e+06	4.659e+06	4.2068e+06	3.8693e+06	3.5208e+06	3.0668e+06	2.2211e+06	1.8869e+06	1.5591e+06	1.1482e+06	606840	169330	213481	43120	18514.1	10133.7	4611.73	2053.38	831.762	365.305	137.258	63.2769	91.2445	7.87692	0.231901	0.0122152	0.00181021	0.00130857	2.5134e+07	5.2083	7.3405e+07	3.6335e+07	1.3695e+07	3.9508e+07	8.4214e+06	1.6723e+07	2.0894e+06	1.0221e+07	1.6519e+07	7.1784e+06	8.8544e+06	5.0432e+06	1.4588e+06	1.6822e+06	2.3039e+06	219630	1.004e+06	1.3456e+06	195500	1.0388e+06	673750	620010	536380	515170	390680	169400	213330	169720	155770	160570	197710	142980	39474	41624	36270	43866	63611	57746	126307	10710.8	1780.43	451.485	72.2014	408.171	17.8921	4.33234	0.367628	0.110639	0.127411	0.0121907	-999	-999	-999	1.9335	0.72148	0.687	4454.9	4037.9	1371	1840.6	12.542	-43.455	116.87	-6.0105	-2.7959	
0.136400	0.301400	103.710000	6.616900 -60	3.0	3.9485e+08	1.5868e+08	1.294e+08	1.0319e+08	8.8339e+07	6.4646e+07	5.422e+07	3.9192e+07	3.1204e+07	2.58e+07	2.3181e+07	1.8664e+07	1.323e+07	1.0903e+07	9.2442e+06	7.8457e+06	6.2508e+06	4.7168e+06	4.0106e+06	3.4833e+06	3.633e+06	2.8805e+06	2.3132e+06	1.7964e+06	1.6018e+06	1.2537e+06	644380	148430	210255	42387	18389.9	10119.7	4550.99	2053.77	829.065	358.95	136.541	64.4269	90.8478	7.82735	0.228117	0.0126844	0.0017484	0.00136685	8.7969e+07	-999	1.7272e+07	7.9277e+07	1.9174e+07	3.9508e+07	3.537e+07	7.7185e+06	1.5671e+07	6.8139e+06	1.1894e+07	1.128e+07	6.842e+06	5.6736e+06	486270	1.1215e+06	1.584e+06	1.0981e+06	1.4223e+06	1.2174e+06	684270	408100	561450	448980	406350	343450	241850	162340	223990	153560	155770	215630	180520	109490	61617	32294	40004	56116	60110	57746	127642	10681.8	1752.36	465.667	71.1631	407.567	17.4106	4.08227	0.330897	0.110639	0.135992	0.0140876	-999	-999	-999	0.84313	0.61913	0.6432	4479.2	4767.6	1495	1977.3	83.226	56.089	116.32	-8.6041	-9.879	
0.160300	0.302760	103.710000	6.616900 -60	3.0	3.9164e+08	1.5655e+08	1.2581e+08	9.713e+07	8.2107e+07	6.8872e+07	4.6904e+07	4.1362e+07	2.9902e+07	2.5772e+07	2.3e+07	1.6783e+07	1.261e+07	1.0497e+07	9.7063e+06	8.2708e+06	6.119e+06	4.6874e+06	4.1744e+06	3.6198e+06	3.5727e+06	2.9152e+06	2.1823e+06	1.8476e+06	1.6755e+06	1.2819e+06	624470	170080	208836	42115.5	18497.5	10158.6	4545.71	2047.39	824.745	350.719	136.715	67.0939	90.4848	7.79052	0.22586	0.0127467	0.00166425	0.00133506	2.8904e+08	1.1797e+08	6.0451e+07	3.3032e+07	5.2043e+07	1.0975e+07	2.358e+07	2.5431	1.985e+07	5.9622e+06	8.59e+06	1.6921e+07	9.2568e+06	8.5104e+06	729410	1.8692e+06	3.4559e+06	2.9649e+06	3.1793e+06	961130	1.564e+06	1.113e+06	673750	491730	325080	527440	409290	190570	229330	274790	167980	151400	202870	142980	70282	49518	40537	56907	71198	57102	129399	10669.4	1744.34	455.611	71.2038	411.439	17.1391	4.17081	0.266433	0.110639	0.0829903	0.0148331	-999	-999	-999	2.1256	0.76426	0.62702	3860.2	4185.2	1537.8	2051	72.688	53.305	114.39	-10.815	-2.6459	
0.184200	0.305470	103.710000	6.616900 -60	3.0	3.4043e+08	1.6869e+08	1.2117e+08	1.0342e+08	8.0766e+07	5.9731e+07	4.6754e+07	3.8527e+07	2.8982e+07	2.3491e+07	2.1571e+07	1.5297e+07	1.3575e+07	1.1174e+07	9.7559e+06	8.4768e+06	6.29e+06	4.99e+06	4.2605e+06	3.8328e+06	3.5971e+06	2.9091e+06	2.2081e+06	1.8683e+06	1.6166e+06	1.3507e+06	595220	167030	207833	42009.8	18707.2	10307.5	4564.96	2040.86	828.233	347.875	137.359	66.1486	90.569	7.79697	0.225498	0.0129025	0.00138376	0.00136124	1.6337e+08	2.0818e+07	5.4118	1.9819e+07	3.2869e+07	1.3169e+07	3.7054e+07	1.801e+07	1.6716e+07	1.5331e+07	2.1805e+07	1.487e+07	1.0867e+07	6.6192e+06	1.4588e+06	5.9813e+06	1.44e+06	1.9766e+06	2.9283e+06	1.0252e+06	1.564e+06	742000	364950	513110	373840	343450	427890	289380	42666	157600	113010	100930	225220	106920	46213	30859	38404	50584	67404	51520	129869	10775.1	1747.79	434.57	69.7515	413.493	18.0959	4.59914	0.319236	-999	0.078027	0.0122048	-999	-999	-999	1.4725	0.69219	0.55047	4146.5	3924	1724.8	2328	156.66	0.24449	115.83	-10.782	-5.3302	
0.208100	0.306830	103.710000	6.616900 -60	3.0	3.3774e+08	1.8408e+08	1.4719e+08	1.183e+08	8.9583e+07	6.7894e+07	5.3318e+07	3.7404e+07	2.6738e+07	2.3373e+07	2.0346e+07	1.6861e+07	1.2954e+07	1.0572e+07	9.725e+06	8.8571e+06	5.8716e+06	4.388e+06	4.0479e+06	3.8846e+06	3.7427e+06	2.9542e+06	2.2396e+06	1.8892e+06	1.7783e+06	1.3587e+06	589950	134050	207393	42012.9	18802.7	10335.8	4577.35	2045.81	837.357	358.286	139.216	63.897	90.996	7.83088	0.224715	0.0127467	0.00132766	0.00146969	2.5134e+07	-999	1.2954e+07	5.6155e+07	1.6435e+07	1.3169e+07	2.1896e+07	1.5437e+07	9.4025e+06	1.7035e+07	1.9823e+07	1.128e+07	3.6222e+06	8.8256e+06	1.2157e+06	4.1121e+06	2.7359e+06	988310	1.757e+06	832980	342130	742000	364950	342080	308830	527440	232550	352910	181330	266710	210740	222510	154730	132680	42362	35883	36803	58092	63319	48944	129045	10823.1	1741.42	432.594	68.4576	411.672	19.2031	4.17717	0.367355	-999	0.0797873	0.00989757	-999	-999	-999	2.1305	0.70334	0.63941	4453.3	4017.7	1489.6	2039	171.86	55.092	113.06	-7.3231	-2.8384	
0.232000	0.308190	103.710000	6.616900 -60	3.0	3.4064e+08	1.3812e+08	1.3112e+08	8.8895e+07	6.9184e+07	6.0369e+07	4.4179e+07	3.6239e+07	2.9183e+07	2.3715e+07	1.9731e+07	1.6217e+07	1.3384e+07	1.0657e+07	9.577e+06	8.2315e+06	5.9115e+06	4.4479e+06	4.2539e+06	3.9296e+06	3.6014e+06	2.7451e+06	2.2517e+06	1.9978e+06	1.7371e+06	1.2381e+06	531940	128550	207376	41949.9	18813.9	10297.6	4613.25	2058.21	844.784	366.795	140.158	64.9624	91.385	7.91749	0.227968	0.012848	0.0015453	0.00135802	3.1418e+08	8.3273e+07	5.6133e+07	2.6426e+07	1.0956e+07	6.5847e+06	1.0106e+07	1.9296e+07	4.1789e+06	1.5331e+07	2.5109e+07	1.0255e+07	2.4148e+06	315200	1.9451e+06	5.2336e+06	3.7439e+06	1.9766e+06	-999	1.3456e+06	1.7107e+06	667800	645670	320700	373840	208520	325570	338790	223990	238420	152710	185800	206310	124950	37548	36600	33603	49793	62444	61610	125817	10767.5	1737.15	431.046	69.3195	401.991	18.7167	3.78011	0.34166	0.110639	0.10174	0.0106196	-999	-999	-999	2.3028	0.69574	0.59644	3921.5	4494.4	1565.2	2114.9	95.593	-8.5988	114.79	-5.5228	-2.3104	
0.279800	0.310900	103.710000	6.616900 -60	3.0	3.2876e+08	1.6848e+08	1.2355e+08	9.1444e+07	7.2022e+07	5.3993e+07	4.4585e+07	3.2647e+07	2.5211e+07	2.5216e+07	2.046e+07	1.6328e+07	1.2303e+07	1.1038e+07	1.0458e+07	7.7836e+06	5.0946e+06	4.0991e+06	3.8893e+06	3.7423e+06	3.3311e+06	2.7869e+06	2.2338e+06	1.8148e+06	1.557e+06	1.065e+06	495680	137430	205183	40924.6	18819.9	10267.4	4599.24	2087.38	844.979	365.659	141.037	62.2713	91.6001	7.92678	0.229929	0.0127779	0.00147024	0.00140985	1.131e+08	7.6334e+07	5.6133e+07	5.6155e+07	8.2173e+06	3.5118e+07	0	1.801e+07	3.0297e+07	1.6183e+07	1.3215e+07	1.1793e+07	4.8297e+06	6.9344e+06	3.8902e+06	3.1776e+06	3.1679e+06	2.1963e+06	2.008e+06	1.2174e+06	977520	556500	196510	726910	487620	453840	232550	303500	223990	214180	158820	201860	177080	114640	47176	30859	40537	58883	68863	59678	115948	10323.7	1693.74	425.772	69.3279	373.639	17.5283	4.15726	0.308782	0.111841	0.0803221	0.01047	-999	-999	-999	3.0127	0.72524	0.46758	4031.4	4456.5	1849.1	2497.4	95.855	17.299	116.85	-8.9055	-1.425	
0.303700	0.313620	103.710000	6.616900 -60	3.0	3.4264e+08	1.7681e+08	1.3853e+08	9.819e+07	6.6793e+07	5.2136e+07	4.148e+07	2.96e+07	2.906e+07	2.4713e+07	2.1178e+07	1.5747e+07	1.3878e+07	1.2019e+07	9.8933e+06	7.1464e+06	5.0627e+06	4.0618e+06	3.8708e+06	3.3111e+06	3.1659e+06	2.6995e+06	2.1134e+06	1.7761e+06	1.4143e+06	963400	472960	137860	204134	40738.2	19034.5	10309.4	4632.82	2108.64	855.655	363.12	141.209	63.0643	91.4513	7.93482	0.226016	0.0132142	0.00164906	0.00124157	1.6337e+08	1.0409e+08	2.5908e+07	3.3032e+07	1.9174e+07	3.9508e+07	4.0423e+07	5.1456e+06	1.0447e+07	1.1073e+07	2.2466e+07	1.5382e+06	7.647e+06	1.576e+06	-999	373830	2.4479e+06	3.514e+06	1.255e+06	1.2815e+06	879770	445200	898330	491730	438860	429310	297660	310560	144000	173770	146600	204160	171920	141700	42362	42342	40004	55721	75575	49159	110478	9922.42	1653.4	417.16	68.029	355.289	17.8092	3.87698	0.308728	0.113044	0.0829845	0.0116615	-999	-999	-999	1.6519	0.69267	0.41177	4419.7	4123.1	1961.5	2691.3	7.0915	-32.794	115.33	-8.1384	-3.613	
0.327600	0.314970	103.710000	6.616900 -60	3.0	2.5779e+08	1.5954e+08	1.2771e+08	1.0579e+08	7.3378e+07	5.5173e+07	4.5742e+07	3.2261e+07	2.5883e+07	2.2701e+07	1.8824e+07	1.4692e+07	1.2774e+07	1.1048e+07	9.0231e+06	6.9141e+06	4.6474e+06	3.8439e+06	3.4931e+06	3.1843e+06	3.1372e+06	2.5491e+06	2.0641e+06	1.6305e+06	1.3994e+06	988590	470170	117560	203020	40485.4	19264.4	10317.6	4645.33	2103.39	852.833	363.056	143.375	65.7239	91.5907	7.9658	0.225485	0.0128402	0.00166425	0.00117051	3.7701e+07	4.1637e+07	3.0226e+07	5.8594	2.7391e+07	2.1949e+07	2.358e+07	9.0049e+06	2.7163e+07	7.6657e+06	660770	6.1529e+06	6.4395e+06	4.4128e+06	1.2157e+06	2.6168e+06	3.5999e+06	2.8551e+06	1.4223e+06	1.73e+06	977520	482300	477240	171040	406350	306650	455800	254090	176000	161640	180200	169750	173640	96611	32734	14353	29869	57302	66529	49588	109117	9653.18	1641.73	403.241	66.811	348.967	18.2829	4.19149	0.351064	0.110639	0.0932897	0.0105684	-999	-999	-999	3.7462	0.6836	0.54282	4642.2	4006	1437.1	1963	174.27	58.633	114.32	-8.9345	-0.77705	
0.351500	0.317690	103.710000	6.616900 -60	3.0	2.6088e+08	1.8438e+08	1.4646e+08	1.075e+08	8.921e+07	6.8969e+07	4.581e+07	4.4844e+07	3.0128e+07	2.2032e+07	1.9143e+07	1.4522e+07	1.1683e+07	8.764e+06	7.7859e+06	6.3496e+06	4.2942e+06	3.5543e+06	3.5139e+06	2.8862e+06	2.9642e+06	2.4561e+06	2.072e+06	2.0227e+06	1.7669e+06	1.1881e+06	483890	119670	203174	40375.3	19392.4	10237.4	4597.73	2097.08	851.048	368.233	145.811	67.9308	91.8783	7.98804	0.227935	0.0117182	0.00140246	0.00130514	1.2567e+08	6.2455e+07	3.4544e+07	1.6516e+07	-999	3.2924e+07	2.1896e+07	1.9296e+07	2.5073e+07	2.2145e+07	1.5198e+07	2.2048e+07	6.842e+06	3.152e+06	6.0784e+06	2.8037e+06	575990	1.5374e+06	920310	128150	879770	667800	168440	470360	292570	539710	334870	275270	250660	165680	201580	172040	161610	106920	37548	33730	33603	58883	61277	50447	116831	9712.24	1665.44	409.437	69.3717	366.833	18.2028	4.08511	0.27853	0.110639	0.0893617	0.00991103	-999	-999	-999	3.4969	0.63806	0.57582	4227	4748.4	1463.9	2045.3	94.903	-30.351	114.64	-6.5874	-1.0683	
0.375400	0.319050	103.710000	6.616900 -60	3.0	3.0884e+08	1.7334e+08	1.5728e+08	1.0601e+08	8.6429e+07	6.1648e+07	4.7024e+07	3.6592e+07	2.9991e+07	2.2882e+07	1.9604e+07	1.7337e+07	1.2634e+07	1.0563e+07	8.8192e+06	6.3371e+06	4.6039e+06	3.8997e+06	3.509e+06	3.2044e+06	3.008e+06	2.5872e+06	2.1255e+06	2.0572e+06	1.917e+06	1.2872e+06	530060	160690	206361	40674.3	19550.4	10214.8	4640.58	2103.31	863.631	374.686	147.895	68.2082	92.1752	8.07129	0.229816	0.0125441	0.00145856	0.00134067	2.1364e+08	5.5515e+07	1.2954e+07	7.2671e+07	8.2173e+07	1.3169e+07	4.2107e+07	4.1165e+07	3.761e+07	3.1514e+07	1.3876e+07	7.6911e+06	6.842e+06	6.304e+06	3.1608e+06	5.2336e+06	144000	-999	1.1713e+06	2.2426e+06	635390	1.2614e+06	364950	812430	373840	429310	297660	324680	223990	230340	183250	227090	216620	95323	56804	31577	34670	44261	64195	51950	122886	9820.51	1689.9	408.409	70.7891	387.823	19.4926	3.74424	0.362668	0.110639	0.111377	0.00876153	-999	-999	-999	4.1767	0.75814	0.57885	3504.7	3956.2	1553.3	2140.3	95.554	-3.9699	115.28	-5.6449	-0.84839	
0.399200	0.320400	103.710000	6.616900 -60	3.0	3.1631e+08	1.9582e+08	1.5287e+08	9.435e+07	7.3125e+07	5.5434e+07	4.4041e+07	3.3676e+07	2.5979e+07	2.2362e+07	1.9563e+07	1.4552e+07	1.3477e+07	1.0767e+07	8.7415e+06	6.8056e+06	4.7291e+06	3.4384e+06	3.2454e+06	3.2351e+06	3.0812e+06	2.5623e+06	2.0902e+06	1.8724e+06	1.7787e+06	1.1872e+06	505350	126020	207885	40703.6	19622.4	10109.3	4699.99	2103.73	867.554	374.369	148.112	67.7993	92.263	8.16683	0.231315	0.0132895	0.00150115	0.00125206	-999	-999	4.7497e+07	4.9548e+07	5.4782e+06	1.5364e+07	2.0211e+07	1.2864e+06	1.2537e+07	1.8738e+07	8.59e+06	1.3331e+07	1.0464e+07	8.1952e+06	9.2392e+06	3.7383e+06	4.7519e+06	549060	1.1713e+06	961130	879770	853300	589530	235180	325080	318920	353480	218800	218660	145480	134390	172040	170200	88882	28883	30859	41604	45446	63611	57960	119445	9689.58	1682.94	397.758	69.914	387.676	18.7032	4.0144	0.429275	0.108333	0.0935476	0.00946523	-999	-999	-999	2.6263	0.72271	0.4575	3713.4	4235	1900.3	2598.2	91.756	-3.8787	115.33	-7.2709	-2.055	
0.423100	0.321760	103.710000	6.616900 -60	3.0	3.4937e+08	2.0192e+08	1.5015e+08	1.0207e+08	7.1729e+07	5.2205e+07	4.4793e+07	3.362e+07	2.8543e+07	2.304e+07	1.9838e+07	1.6718e+07	1.3988e+07	1.2211e+07	9.0894e+06	6.8844e+06	4.752e+06	3.831e+06	3.7301e+06	3.2147e+06	3.1296e+06	2.6779e+06	2.1565e+06	1.9833e+06	1.6928e+06	1.1393e+06	472870	126020	206950	40614.2	19615.2	10024.3	4701.24	2110.77	867.459	371.967	150.576	69.5725	92.4438	8.18976	0.232703	0.0136194	0.00153336	0.00124531	8.797e+07	11.719	1.0795e+08	3.9639e+07	4.2318	2.1949e+07	1.5159e+07	1.5437e+07	2.6118e+07	2.8108e+07	2.3788e+07	1.6408e+07	6.842e+06	7.5648e+06	1.702e+06	1.4953e+06	2.5919e+06	1.0981e+06	2.7609e+06	1.2815e+06	830890	816200	814110	277940	308830	404780	139530	275270	245330	157600	149660	222510	201150	110780	18293	40189	34670	58487	70322	46154	117078	9617.43	1674.54	395.917	69.0756	380.925	18.0286	3.97998	0.417937	0.109102	0.085699	0.013757	-999	-999	-999	2.935	0.68865	0.39368	3774.6	4152.7	2202.9	3017.2	96.824	-7.0941	114.44	-8.6072	-1.6493	
0.447000	0.323120	103.710000	6.616900 -60	3.0	3.8139e+08	1.7261e+08	1.2531e+08	1.0353e+08	8.1393e+07	6.1393e+07	4.4372e+07	3.2889e+07	2.7513e+07	2.1586e+07	1.8727e+07	1.54e+07	1.5315e+07	1.1471e+07	8.2994e+06	6.8507e+06	4.5074e+06	3.9082e+06	3.6885e+06	3.4321e+06	3.2622e+06	2.6741e+06	2.2001e+06	2.0712e+06	1.8066e+06	1.18e+06	432050	138780	205223	40352.6	19395.2	9935.75	4667.38	2118.1	864.164	377.226	148.94	67.9981	92.5275	8.17283	0.232805	0.0128091	0.00153336	0.00127522	1.8851e+08	1.1103e+08	9.0677e+07	6.6064e+07	3.2869e+07	2.8534e+07	3.7054e+07	-999	1.6716e+07	2.4701e+07	1.5858e+07	1.0768e+07	1.0867e+07	8.8256e+06	6.0784e+06	934580	3.4559e+06	1.3178e+06	1.0876e+06	1.666e+06	1.564e+06	445200	982550	491730	487620	233060	186040	289380	192000	169720	207690	192690	161610	121090	48139	30141	39470	53350	68572	54740	118444	9639.43	1659.29	397.59	67.6734	377.823	18.7416	3.94247	0.364801	0.110672	0.0787916	0.0129417	-999	-999	-999	3.7204	0.70922	0.51902	3814.1	4178.3	1707.6	2323.4	83.225	25.084	114.61	-10.116	-1.0115	
0.470900	0.325830	103.710000	6.616900 -60	3.0	3.8468e+08	1.8298e+08	1.3834e+08	1.0335e+08	7.9918e+07	6.6322e+07	5.0596e+07	3.616e+07	2.8697e+07	2.1882e+07	1.9466e+07	1.6067e+07	1.3999e+07	1.1605e+07	7.7583e+06	6.5427e+06	4.6529e+06	3.7431e+06	3.6922e+06	3.1893e+06	3.0364e+06	2.6548e+06	2.3389e+06	2.2529e+06	1.8034e+06	1.1856e+06	478550	149450	203385	39972.4	19157.7	9884.93	4624.46	2112.82	870.631	383.261	148.174	66.1452	92.6317	8.1664	0.233393	0.0128402	0.00158945	0.00126401	2.2621e+08	-999	1.7272e+07	2.6426e+07	2.7391e+07	3.9508e+07	3.2001e+07	2.5728e+06	1.1492e+07	1.7887e+07	1.8502e+07	9.2294e+06	4.8297e+06	8.1952e+06	3.4039e+06	2.6168e+06	3.4559e+06	1.9766e+06	1.3386e+06	1.4737e+06	1.9062e+06	890400	589530	684150	503880	331180	390680	247040	261330	177810	164930	149100	183960	110780	32734	32294	37870	57302	70614	53238	118042	9515.75	1632.87	409.366	63.9006	373.714	19.0106	4.28328	0.34279	0.111841	0.076752	0.0109057	-999	-999	-999	2.0249	0.64494	0.59732	4068.2	4378	1486.3	2062.6	123.25	-9.6558	114.02	-9.1076	-2.852	
0.494800	0.327190	103.710000	6.616900 -60	3.0	3.9042e+08	1.8081e+08	1.4982e+08	1.1941e+08	8.7985e+07	7.1146e+07	5.0942e+07	4.2107e+07	3.0617e+07	2.3965e+07	2.0237e+07	1.8096e+07	1.338e+07	1.0278e+07	7.7655e+06	6.8315e+06	4.9688e+06	3.5767e+06	3.1724e+06	2.977e+06	3.053e+06	2.7321e+06	2.2876e+06	2.1047e+06	1.7833e+06	1.0581e+06	430880	132360	201660	39583.7	18991.1	9917.27	4637.01	2102.46	879.407	377.486	148.806	68.2304	92.8349	8.16869	0.232955	0.0124039	0.00172035	0.00119669	2.8904e+08	-999	7.7723e+07	4.6245e+07	4.1086e+07	3.2924e+07	3.7054e+07	1.2864e+06	3.0297e+07	2.1294e+07	1.9162e+07	5.1274e+06	3.2198e+06	5.9888e+06	7.2941e+06	5.2336e+06	4.0319e+06	3.9533e+06	2.5936e+06	1.4097e+06	928650	556500	617600	513110	276320	257590	381380	324680	208000	230340	198530	194980	128940	61831	29846	25836	46938	61254	74699	48944	113868	9280.24	1635.07	410.021	65.8957	359.228	18.4088	4.17863	0.380897	0.110639	0.0820917	0.011307	-999	-999	-999	3.2193	0.67855	0.60628	3885.2	4170.3	1412	1930.4	98.167	-81.109	114.03	-8.1193	-1.1434	
