SUMLEV,state,county,PLACE,cousub,NAME,StateName,PopCensus_2000,Popbase_2000,Pop_2000,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006
162,08,000,00760,00000,Aguilar town,Colorado,593,593,595,586,589,584,573,576,578
162,08,000,00925,00000,Akron town,Colorado,1711,1711,1717,1675,1666,1644,1586,1574,1573
162,08,000,01090,00000,Alamosa city,Colorado,7960,8438,8441,8433,8553,8537,8600,8659,8679
162,08,000,01530,00000,Alma town,Colorado,179,179,179,180,184,185,186,183,181
162,08,000,02355,00000,Antonito town,Colorado,873,873,873,867,865,833,841,842,832
162,08,000,03235,00000,Arriba town,Colorado,244,244,243,233,234,233,229,225,217
162,08,000,03455,00000,Arvada city,Colorado,102153,102377,102308,102314,102127,102610,102378,103643,104830
162,08,000,03620,00000,Aspen city,Colorado,5914,5977,5925,5894,5895,5841,5767,5769,5728
162,08,000,03950,00000,Ault town,Colorado,1432,1432,1428,1425,1424,1420,1410,1421,1420
162,08,000,04000,00000,Aurora city,Colorado,276393,275952,276811,281502,283320,286184,290716,296861,303582
162,08,000,04110,00000,Avon town,Colorado,5561,5642,5655,5743,5754,6355,6369,6387,6399
162,08,000,04935,00000,Basalt town,Colorado,2681,2687,2704,2805,2895,2919,2972,3008,3041
162,08,000,05265,00000,Bayfield town,Colorado,1549,1587,1595,1620,1630,1647,1628,1658,1792
162,08,000,06090,00000,Bennett town,Colorado,2021,2048,2067,2138,2263,2330,2494,2574,2570
162,08,000,06255,00000,Berthoud town,Colorado,4839,4922,4973,5196,5163,5092,5053,5046,5120
162,08,000,06530,00000,Bethune town,Colorado,225,225,225,224,227,222,217,218,215
162,08,000,07025,00000,Black Hawk city,Colorado,118,118,118,115,113,111,109,108,107
162,08,000,07190,00000,Blanca town,Colorado,391,391,392,383,387,383,386,370,363
162,08,000,07410,00000,Blue River town,Colorado,685,689,707,689,748,760,790,817,864
162,08,000,07571,00000,Bonanza town,Colorado,14,14,14,14,14,15,15,15,15
162,08,000,07795,00000,Boone town,Colorado,323,323,324,329,334,334,333,332,333
162,08,000,07850,00000,Boulder city,Colorado,94673,94528,94587,94555,93671,92532,92039,91351,91481
162,08,000,08070,00000,Bow Mar town,Colorado,847,847,843,833,816,806,801,805,811
162,08,000,08345,00000,Branson town,Colorado,77,77,77,77,78,78,78,78,79
162,08,000,08400,00000,Breckenridge town,Colorado,2408,2368,2419,2559,2623,2630,2653,2688,2768
162,08,000,08675,00000,Brighton city,Colorado,20905,20987,21294,22454,23770,26009,27006,28194,29750
162,08,000,09115,00000,Brookside town,Colorado,219,219,219,221,222,221,219,220,219
162,08,000,09280,00000,Broomfield city,Colorado,38272,39198,39354,39847,40364,41742,42356,43376,45116
162,08,000,09555,00000,Brush city,Colorado,5117,5117,5130,5133,5162,5195,5204,5186,5205
162,08,000,10105,00000,Buena Vista town,Colorado,2195,2195,2196,2190,2211,2191,2178,2162,2155
162,08,000,10600,00000,Burlington city,Colorado,3678,3678,3667,3610,3648,3610,3548,3506,3480
162,08,000,11260,00000,Calhan town,Colorado,896,896,897,919,911,902,890,875,869
162,08,000,11645,00000,Campo town,Colorado,150,150,149,149,145,137,137,136,133
162,08,000,11810,00000,Canon City city,Colorado,15431,15582,15618,15760,15829,15837,15844,15959,16124
162,08,000,12045,00000,Carbondale town,Colorado,5196,5203,5266,5466,5553,5648,5697,5821,6013
162,08,000,12415,00000,Castle Rock town,Colorado,20224,20289,20907,23254,25945,30006,32694,35768,39682
162,08,000,12635,00000,Cedaredge town,Colorado,1854,1856,1867,1917,1989,2043,2105,2157,2215
162,08,000,12815,00000,Centennial city,Colorado,X,102767,102040,101026,98825,97897,97794,97988,98270
162,08,000,12855,00000,Center town,Colorado,2392,2392,2398,2383,2441,2470,2545,2498,2445
162,08,000,12910,00000,Central City city,Colorado,515,515,516,505,502,493,485,493,514
162,08,000,13460,00000,Cheraw town,Colorado,211,213,213,212,209,210,212,212,211
162,08,000,13845,00000,Cherry Hills Village city,Colorado,5958,5958,5961,6063,6032,6028,6063,6122,6185
162,08,000,14175,00000,Cheyenne Wells town,Colorado,1010,1010,1007,1005,977,925,897,873,856
162,08,000,15330,00000,Coal Creek town,Colorado,303,303,309,331,350,361,363,361,362
162,08,000,15550,00000,Cokedale town,Colorado,139,139,139,137,138,136,134,135,135
162,08,000,15605,00000,Collbran town,Colorado,388,394,395,395,400,402,405,407,415
162,08,000,16000,00000,Colorado Springs city,Colorado,360890,361118,361045,370753,370303,368516,368807,369156,372437
162,08,000,16385,00000,Columbine Valley town,Colorado,1132,1132,1125,1116,1115,1130,1156,1217,1254
162,08,000,16495,00000,Commerce City city,Colorado,20991,21222,21437,22227,24271,26698,29774,34456,38887
162,08,000,17375,00000,Cortez city,Colorado,7977,7988,8009,7994,8123,8224,8226,8255,8448
162,08,000,17760,00000,Craig city,Colorado,9189,9193,9179,9156,9244,9201,9263,9129,9251
162,08,000,17925,00000,Crawford town,Colorado,366,362,363,369,378,382,385,386,389
162,08,000,17980,00000,Creede town,Colorado,377,377,380,367,385,397,414,408,409
162,08,000,18310,00000,Crested Butte town,Colorado,1529,1529,1532,1529,1517,1494,1517,1541,1554
162,08,000,18420,00000,Crestone town,Colorado,73,73,73,72,74,78,84,84,86
162,08,000,18530,00000,Cripple Creek city,Colorado,1115,1115,1114,1113,1110,1092,1071,1062,1068
162,08,000,18640,00000,Crook town,Colorado,128,128,129,131,132,131,130,128,128
162,08,000,18750,00000,Crowley town,Colorado,187,187,187,182,182,181,182,179,178
162,08,000,19080,00000,Dacono city,Colorado,3015,3023,3051,3186,3261,3268,3377,3518,3752
162,08,000,19355,00000,De Beque town,Colorado,451,451,452,456,464,467,470,472,481
162,08,000,19630,00000,Deer Trail town,Colorado,598,598,595,593,584,579,577,575,578
162,08,000,19795,00000,Del Norte town,Colorado,1705,1879,1875,1815,1794,1784,1767,1736,1685
162,08,000,19850,00000,Delta city,Colorado,6400,7622,7653,7796,7971,8031,8084,8165,8366
162,08,000,20000,00000,Denver city,Colorado,554636,553693,555543,561891,558359,555997,555836,558663,566974
162,08,000,20440,00000,Dillon town,Colorado,802,802,803,797,789,791,779,776,780
162,08,000,20495,00000,Dinosaur town,Colorado,319,322,322,322,342,340,344,340,342
162,08,000,20770,00000,Dolores town,Colorado,857,860,861,855,855,869,869,869,899
162,08,000,21265,00000,Dove Creek town,Colorado,698,698,700,690,697,678,676,676,711
162,08,000,22035,00000,Durango city,Colorado,13922,14438,14473,14551,14877,14913,15251,15439,15614
162,08,000,22145,00000,Eads town,Colorado,747,747,742,703,686,671,650,649,647
162,08,000,22200,00000,Eagle town,Colorado,3032,3037,3043,3089,3327,3452,3732,4289,4919
162,08,000,22860,00000,Eaton town,Colorado,2690,2694,2739,2937,3473,3679,3800,3921,4044
162,08,000,23025,00000,Eckley town,Colorado,278,278,278,280,278,279,274,273,273
162,08,000,23135,00000,Edgewater city,Colorado,5445,5445,5461,5498,5429,5335,5262,5192,5159
162,08,000,23740,00000,Elizabeth town,Colorado,1434,1435,1444,1487,1522,1516,1517,1513,1501
162,08,000,24620,00000,Empire town,Colorado,355,355,354,357,359,352,339,339,335
162,08,000,24785,00000,Englewood city,Colorado,31727,31727,31767,32392,32694,32392,32285,32267,32286
162,08,000,24950,00000,Erie town,Colorado,6291,6350,6663,7909,8402,8922,10064,12307,14125
162,08,000,25115,00000,Estes Park town,Colorado,5413,5501,5527,5651,5664,5692,5803,5826,6006
162,08,000,25280,00000,Evans city,Colorado,9514,10202,10552,12017,13774,15233,16388,17415,17977
162,08,000,25610,00000,Fairplay town,Colorado,610,625,630,649,669,675,678,677,678
162,08,000,26270,00000,Federal Heights city,Colorado,12065,12065,12081,12118,12107,11940,11815,11788,11744
162,08,000,26600,00000,Firestone town,Colorado,1908,1992,2241,3246,4343,5161,5857,6484,7124
162,08,000,26765,00000,Flagler town,Colorado,612,612,615,622,624,610,596,592,586
162,08,000,26875,00000,Fleming town,Colorado,426,426,429,442,448,451,450,443,442
162,08,000,27040,00000,Florence city,Colorado,3653,3688,3692,3709,3740,3714,3677,3674,3692
162,08,000,27425,00000,Fort Collins city,Colorado,118652,119056,119659,122479,124621,125933,126995,128017,129467
162,08,000,27700,00000,Fort Lupton city,Colorado,6787,7103,7153,7401,7446,7410,7391,7390,7424
162,08,000,27810,00000,Fort Morgan city,Colorado,11034,11035,11044,10980,11006,11014,10961,10845,10807
162,08,000,27865,00000,Fountain city,Colorado,15197,15293,15466,16173,16929,17675,18807,19081,19374
162,08,000,27975,00000,Fowler town,Colorado,1206,1206,1201,1183,1162,1155,1142,1138,1134
162,08,000,28105,00000,Foxfield town,Colorado,746,746,748,768,827,851,870,890,909
162,08,000,28305,00000,Fraser town,Colorado,910,917,915,905,911,908,912,894,899
162,08,000,28360,00000,Frederick town,Colorado,2467,2517,2785,3867,4698,5346,6065,6618,7395
162,08,000,28690,00000,Frisco town,Colorado,2443,2477,2422,2401,2410,2439,2426,2427,2498
162,08,000,28745,00000,Fruita city,Colorado,6478,6641,6653,6672,6761,6813,6863,6907,7055
162,08,000,29185,00000,Garden City town,Colorado,357,357,356,353,352,345,342,341,339
162,08,000,29680,00000,Genoa town,Colorado,211,211,210,201,202,201,197,194,187
162,08,000,29735,00000,Georgetown town,Colorado,1088,1088,1085,1089,1105,1099,1068,1068,1054
162,08,000,29955,00000,Gilcrest town,Colorado,1162,1161,1159,1157,1182,1160,1150,1144,1139
162,08,000,30340,00000,Glendale city,Colorado,4547,4547,4518,4472,4812,4770,4759,4759,4762
162,08,000,30780,00000,Glenwood Springs city,Colorado,7736,7776,7853,8083,8289,8389,8463,8562,8765
162,08,000,30835,00000,Golden city,Colorado,17159,17173,17206,17271,17294,17468,17403,17308,17239
162,08,000,31550,00000,Granada town,Colorado,640,640,640,634,631,625,613,613,612
162,08,000,31605,00000,Granby town,Colorado,1525,1697,1694,1681,1691,1687,1693,1665,1674
162,08,000,31660,00000,Grand Junction city,Colorado,41986,44583,44616,44548,45004,45301,45616,45903,46898
162,08,000,31715,00000,Grand Lake town,Colorado,447,447,446,442,444,443,444,436,437
162,08,000,32155,00000,Greeley city,Colorado,76930,77860,78258,80382,82704,84382,85736,87440,89046
162,08,000,32650,00000,Green Mountain Falls town,Colorado,773,773,773,789,787,783,783,783,791
162,08,000,33035,00000,Greenwood Village city,Colorado,11035,11317,11523,12507,12900,12897,12895,13060,13440
162,08,000,33310,00000,Grover town,Colorado,153,153,153,156,156,154,154,154,153
162,08,000,33640,00000,Gunnison city,Colorado,5409,5411,5399,5315,5279,5244,5308,5283,5309
162,08,000,33695,00000,Gypsum town,Colorado,3654,3803,3867,4146,4510,4580,4809,4987,5307
162,08,000,34520,00000,Hartman town,Colorado,111,111,111,110,110,109,109,109,108
162,08,000,34740,00000,Haswell town,Colorado,84,84,83,79,77,76,75,76,75
162,08,000,34960,00000,Haxtun town,Colorado,982,982,978,981,999,986,996,993,997
162,08,000,35070,00000,Hayden town,Colorado,1634,1638,1631,1591,1568,1572,1563,1539,1534
162,08,000,36610,00000,Hillrose town,Colorado,254,254,256,261,268,272,274,274,278
162,08,000,37215,00000,Holly town,Colorado,1048,1048,1047,1038,1033,1026,1008,1000,987
162,08,000,37270,00000,Holyoke city,Colorado,2261,2261,2250,2261,2283,2258,2290,2285,2291
162,08,000,37380,00000,Hooper town,Colorado,123,123,123,123,124,124,126,127,125
162,08,000,37545,00000,Hotchkiss town,Colorado,968,1005,1007,1015,1042,1057,1077,1082,1087
162,08,000,37600,00000,Hot Sulphur Springs town,Colorado,521,529,528,524,528,526,527,517,518
162,08,000,37820,00000,Hudson town,Colorado,1565,1565,1568,1593,1616,1587,1591,1581,1582
162,08,000,37875,00000,Hugo town,Colorado,885,885,881,848,851,841,815,799,771
162,08,000,38370,00000,Idaho Springs city,Colorado,1889,1937,1931,1933,1940,1908,1835,1824,1797
162,08,000,38535,00000,Ignacio town,Colorado,669,671,672,673,675,669,656,644,630
162,08,000,38590,00000,Iliff town,Colorado,213,213,214,219,220,219,216,218,222
162,08,000,39195,00000,Jamestown town,Colorado,205,244,244,244,240,236,234,232,232
162,08,000,39855,00000,Johnstown town,Colorado,3827,4301,4384,4740,5150,5740,6456,7273,8237
162,08,000,39965,00000,Julesburg town,Colorado,1467,1471,1471,1425,1442,1407,1354,1337,1308
162,08,000,40185,00000,Keenesburg town,Colorado,855,856,875,959,1139,1125,1136,1137,1140
162,08,000,40515,00000,Kersey town,Colorado,1389,1399,1396,1393,1395,1384,1382,1406,1418
162,08,000,40570,00000,Kim town,Colorado,65,65,65,65,66,66,66,66,66
162,08,000,40790,00000,Kiowa town,Colorado,581,587,593,619,619,610,603,595,607
162,08,000,41010,00000,Kit Carson town,Colorado,253,253,252,251,244,233,230,225,219
162,08,000,41560,00000,Kremmling town,Colorado,1578,1578,1576,1566,1579,1575,1577,1545,1549
162,08,000,41835,00000,Lafayette city,Colorado,23197,23217,23334,23732,23743,23575,23752,23810,24211
162,08,000,42055,00000,La Jara town,Colorado,877,886,886,878,873,836,827,826,823
162,08,000,42110,00000,La Junta city,Colorado,7568,7573,7557,7494,7401,7363,7298,7265,7242
162,08,000,42330,00000,Lake City town,Colorado,375,378,376,381,370,365,379,369,383
162,08,000,42495,00000,Lakeside town,Colorado,20,20,20,20,20,19,20,19,19
