Havana, Cuba                  ID: 311   Lat:  22.98  Lon:  -82.40  Alt:   59
Meteor-3 TOMS V.8 Overpass - Generated: 050328                                  
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
48490.7 1991 234 57941  14  23.07  -82.36  11 100 23.50 287.8  13.6   1.13  -10
48491.7 1991 235 56876  18  22.90  -82.16  26  99 27.14 285.7  13.8  -0.41   -9
48492.6 1991 236 55819  23  23.19  -82.60  31 100 31.54 279.0  18.0  -0.18  -17
48493.6 1991 237 54754  26  22.90  -82.06  36  99 35.00 278.9  26.6   0.41  -12
48494.6 1991 238 53697  29  23.03  -81.97  44 100 38.97 272.9  14.9   0.30   -8
48495.6 1991 239 52640  32  23.16  -82.90  55 100 43.88 276.3  19.0   0.34   -2
48496.7 1991 240 58208   3  23.10  -82.60  24 100 23.64 287.9  36.5  -0.45   -5
48497.7 1991 241 57143   5  23.19  -82.92  58 100 27.67 289.1  93.0   0.11   -4
48498.6 1991 242 56078   7  23.10  -82.49  16 100 31.13 294.8  19.3   0.54   -4
48499.6 1991 243 55013  10  23.04  -82.45   8 100 35.00 294.7  26.7   0.40    0
48500.6 1991 244 53949  14  22.96  -82.58  19 100 39.08 279.5  13.8   0.19   -4
48501.6 1991 245 52884  18  22.79  -82.39  21  99 42.90 291.8  43.2  -0.05  -10
48554.8 1991 298 71549   9  22.90  -82.64  26 100 52.16 269.2  23.0  -1.13   -7
48555.8 1991 299 70484   6  22.84  -82.79  43 100 49.14 257.8  88.3   0.09   -5
48556.8 1991 300 69420   4  22.78  -82.62  32 100 46.56 274.5  19.2  -0.88   -3
48557.9 1991 301 74987  33  22.98  -82.71  32 100 63.87 263.2  15.0   1.21 -999
48558.9 1991 302 73930  31  22.82  -82.96  60 100 60.30 261.5  11.3   1.14 -999
48559.8 1991 303 72865  29  23.04  -82.50  12 100 57.59 266.5  34.8   0.38   -1
48560.8 1991 304 71809  26  22.80  -82.37  20  99 54.51 251.1  10.6   0.38   -6
48561.8 1991 305 70744  22  22.94  -82.45   7 100 51.68 246.1  16.5  -0.02   -3
48562.8 1991 306 69679  18  23.08  -82.21  22 100 49.27 253.7  16.1  -0.39   -6
48563.8 1991 307 68615  13  23.07  -82.63  26 100 46.62 263.8  14.2  -0.98   -3
48564.8 1991 308 67550  10  23.17  -82.07  40 100 44.89 258.4  13.2  -0.51   -3
48565.8 1991 309 66486   7  23.14  -81.97  47 100 43.12 268.2  63.0  -0.48   -4
48566.8 1991 310 65421   4  22.83  -82.83  47 100 41.12 250.7  63.9   0.07  -16
48567.8 1991 311 70988  33  23.00  -82.92  53 100 53.41 262.2  57.0   1.08 -999
48568.8 1991 312 69932  32  22.91  -81.81  61  99 51.42 263.7  32.9   1.55   -9
48569.8 1991 313 68867  29  23.06  -82.67  29 100 48.61 282.5  71.3  -0.17   -2
48570.8 1991 314 67810  26  22.82  -82.55  24 100 46.37 265.3  15.4  -0.77   -3
48571.8 1991 315 66746  22  22.95  -82.63  24 100 44.66 269.6  23.7  -0.10   -7
48572.8 1991 316 65681  18  23.08  -82.40  11 100 43.43 264.4  13.0  -0.86   -5
48573.7 1991 317 64616  14  23.10  -82.16  28 100 42.46 252.6  17.4  -0.97   -6
48574.7 1991 318 63552  10  23.08  -82.26  18 100 41.79 246.5  13.6  -0.38   -8
48575.7 1991 319 62487   7  23.04  -82.17  24 100 41.57 248.5  16.8  -0.82   -7
48576.7 1991 320 61423   5  23.02  -81.70  72 100 41.79 259.6  43.6  -0.10   -4
48577.7 1991 321 60350   3  23.19  -82.04  44 100 42.69 262.2  14.2  -0.59    0
48578.8 1991 322 65934  32  22.79  -81.92  54  99 45.03 255.0  14.0   0.27   -8
48579.8 1991 323 64869  29  22.92  -82.80  41 100 43.77 254.9  11.8   0.12   -7
48580.7 1991 324 63805  26  23.10  -82.70  33 100 43.30 252.4  18.2   0.24   -5
48581.7 1991 325 62748  23  22.86  -82.12  32  99 42.87 253.6  19.6  -0.06   -5
48582.7 1991 326 61684  18  22.90  -82.55  18 100 43.08 248.5  13.5  -0.14  -10
48583.7 1991 327 60619  14  22.98  -82.33   7 100 43.76 257.0  23.6  -0.15   -6
48584.7 1991 328 59555  10  22.95  -82.44   5 100 44.79 272.1  62.3  -0.60    6
48585.7 1991 329 58490   7  22.90  -82.35  10  99 46.14 263.7  35.0  -0.53    2
48586.7 1991 330 57426   5  22.86  -81.89  54  99 47.71 268.6  50.4  -0.16    7
48587.7 1991 331 56353   3  23.06  -82.25  18 100 50.13 263.0  47.4   0.58    4
48588.7 1991 332 61929  32  23.11  -82.04  40 100 44.43 256.7  32.9   0.49   -5
48589.7 1991 333 60872  29  22.82  -82.94  58 100 44.73 260.6  25.3  -0.04  -10
48590.7 1991 334 59808  27  23.09  -82.05  38 100 45.77 266.4  15.2  -0.38   -4
48591.7 1991 335 58751  23  22.78  -82.28  25  99 46.82 257.4  13.7  -0.61  -12
48592.7 1991 336 57687  19  22.90  -82.12  30  99 48.55 261.5  11.8  -0.62   -7
48593.7 1991 337 56623  14  22.90  -82.52  15 100 50.70 262.3   8.5  -0.25   -2
48594.6 1991 338 55558  10  22.87  -82.63  27 100 53.03 270.6  40.7  -0.02    0
48595.6 1991 339 54494   7  22.82  -82.56  24 100 55.50 268.3  25.0   0.02   -3
48596.6 1991 340 53422   5  23.22  -82.17  36 100 58.35 265.7  13.4   0.62   -1
48597.6 1991 341 52357   3  22.95  -82.46   7 100 61.28 265.4  17.9   0.86 -999
48598.7 1991 342 57933  32  23.01  -82.20  21 100 49.22 253.0  15.1  -0.38   -8
48599.7 1991 343 56877  30  22.80  -82.04  42  99 50.85 257.8   9.4  -0.93   -7
48600.6 1991 344 55812  27  22.96  -82.21  20 100 53.25 254.1  15.1  -0.56   -6
48601.6 1991 345 54748  23  23.04  -82.48  11 100 55.90 255.9  14.6  -0.52    1
48602.6 1991 346 53684  19  23.15  -82.31  21 100 58.57 246.7  15.4  -0.21   -8
48603.6 1991 347 52620  14  23.12  -82.72  36 100 61.68 245.8   4.9   0.53   -9
48604.6 1991 348 51555  11  23.20  -82.08  41 100 64.35 251.4   4.8   0.31   -4
48605.6 1991 349 50491   7  23.00  -82.75  36 100 67.88 246.8   2.6   1.05 -999
48606.6 1991 350 49427   5  22.95  -82.29  12 100 70.83 247.5  35.7   1.15 -999
48607.6 1991 351 48355   3  23.10  -82.64  28 100 74.64 254.7   6.5   1.88 -999
48661.9 1992 040 74241  18  22.83  -82.51  20 100 56.60 264.0  87.1   0.22   -5
48662.8 1992 041 73185  22  23.15  -82.27  23 100 53.61 258.3  32.4  -0.06   -2
48663.8 1992 042 72120  26  23.03  -82.39   6 100 50.21 266.7  46.8  -0.14    2
48664.8 1992 043 71056  29  22.84  -82.31  18  99 47.05 272.0  54.8   0.32    7
48665.8 1992 044 70000  31  23.01  -81.83  58 100 44.60 274.3  34.0   0.74    2
48666.8 1992 045 68944  33  23.16  -82.12  35 100 41.96 268.2  10.0   0.64   -2
48667.9 1992 046 74504   4  23.07  -81.85  57 100 56.77 274.2  15.0   0.95    1
48668.8 1992 047 73431   7  22.91  -82.82  44 100 52.43 277.5  14.7   0.56   -2
48669.8 1992 048 72367  10  22.95  -82.75  36 100 49.15 273.4   7.6   0.38   -3
48670.8 1992 049 71303  13  22.87  -82.21  23  99 46.25 270.9  17.5   0.24   -4
48671.8 1992 050 70239  18  22.91  -82.67  29 100 42.98 270.0  29.4   0.50    0
48672.8 1992 051 69174  22  22.81  -82.45  20 100 40.25 266.0   9.4   0.15   -7
48673.8 1992 052 68118  26  23.13  -82.53  21 100 38.02 266.3  10.6   0.22    0
48674.8 1992 053 67054  29  22.94  -82.45   7 100 35.76 268.5  10.2   0.36   -1
48675.8 1992 054 65997  31  23.11  -81.97  46 100 34.35 281.3  22.4  -0.29    8
48676.8 1992 055 64933  33  22.84  -82.24  23  99 32.75 281.1  34.4   1.02   -7
48677.8 1992 056 70493   4  22.78  -82.09  39  99 42.30 277.1  22.6   1.29   -3
48678.8 1992 057 69428   6  22.86  -81.94  49  99 39.46 275.3  41.4   1.04  -13
48679.8 1992 058 68364   9  22.95  -82.10  31  99 36.73 272.1  23.2   0.75    1
48680.8 1992 059 67299  13  23.00  -82.36   5 100 34.30 267.3  19.3   0.40  -14
48681.8 1992 060 66235  17  22.95  -82.19  22 100 32.35 282.6  14.6  -0.10   -2
48682.8 1992 061 65170  22  22.93  -82.57  18 100 30.76 279.7  13.2   0.40   -4
48683.7 1992 062 64106  26  22.80  -82.66  33 100 29.74 289.3  15.2  -0.30    1
48684.7 1992 063 63049  29  23.04  -82.55  17 100 29.70 285.3  11.2   0.28   -5
48685.7 1992 064 61993  31  23.19  -82.06  42 100 30.05 291.0  13.2   0.44   -1
48686.7 1992 065 60928  33  22.91  -82.32  11  99 30.72 287.9  28.6   0.73   -1
48687.8 1992 066 66487   4  22.84  -82.26  21  99 30.52 282.6  16.4   0.42   -1
48688.8 1992 067 65423   6  22.92  -82.10  31  99 28.90 279.3   8.9   0.75   -1
48689.7 1992 068 64358   9  23.02  -82.25  16 100 27.77 276.5   9.8   0.45   -8
48690.7 1992 069 63294  13  23.07  -82.49  14 100 27.30 273.0   8.6   0.64   -1
48691.7 1992 070 62229  17  23.02  -82.32   9 100 27.37 268.9  25.8   0.90   -9
48692.7 1992 071 61164  22  22.99  -82.69  30 100 28.26 266.2  27.2   0.78  -16
48693.7 1992 072 60100  26  22.87  -82.78  41 100 29.63 275.7  44.9   1.04   -5
48694.7 1992 073 59043  29  23.12  -82.65  30 100 31.71 285.5  79.7  -0.05    1
48695.7 1992 074 57979  31  22.86  -82.15  29  99 33.55 280.1  34.3   0.22    5
48696.7 1992 075 56922  33  23.03  -82.40   6 100 36.49 284.2   6.7   1.28   -2
48697.7 1992 076 62481   4  22.98  -82.42   2 100 24.75 284.8   7.0   0.78   -3
48698.7 1992 077 61417   6  23.06  -82.25  18 100 25.46 287.7  12.1  -0.07    2
48699.7 1992 078 60352   9  23.16  -82.40  20 100 26.93 276.7   9.2   0.48   -1
48700.7 1992 079 59280  13  22.81  -82.67  34 100 28.72 278.5  12.1  -0.21   -1
48701.7 1992 080 58216  17  22.78  -82.47  23 100 30.99 269.3   8.6   0.55   -5
48702.7 1992 081 57160  21  23.15  -82.17  30 100 33.74 282.3   8.1   0.47   -3
48703.6 1992 082 56096  25  23.06  -82.13  29 100 36.65 274.1  11.5   0.11   -6
48704.6 1992 083 55031  29  22.96  -82.76  37 100 40.34 271.7  11.9   0.85   -2
48705.6 1992 084 53975  31  23.19  -82.25  28 100 43.37 282.5  59.4   0.62   -1
48706.6 1992 085 52911  33  22.96  -82.48   8 100 47.00 271.8  38.2   2.30   -6
48707.7 1992 086 58471   4  22.92  -82.60  22 100 28.41 295.2  13.3   0.24   -2
48708.7 1992 087 57406   6  23.00  -82.42   3 100 31.15 294.6  10.5   0.71    4
48709.7 1992 088 56341   9  23.10  -82.55  20 100 34.38 288.2  16.1   0.14   -3
48710.6 1992 089 55277  12  23.07  -82.09  33 100 37.29 284.2   9.4   0.78   -7
48711.6 1992 090 54212  17  23.12  -82.57  23 100 41.17 291.0  25.7  -0.01    6
48712.6 1992 091 53147  21  23.03  -82.32  10 100 44.50 285.6  42.8   0.42    4
48713.6 1992 092 52082  25  22.92  -82.27  15  99 48.09 278.2  16.8   0.60   -1
48714.6 1992 093 51026  28  23.18  -81.93  53 100 51.55 272.2  15.1   0.75   -1
48767.8 1992 146 69585   3  23.22  -82.20  34 100 26.44 314.7  19.0   0.86   -4
48768.9 1992 147 75168  32  22.77  -82.03  45  99 47.91 286.5  19.2   1.39   -7
48769.9 1992 148 74104  29  22.84  -82.91  55 100 42.98 291.6  23.9   0.29    4
48770.8 1992 149 73039  26  22.97  -82.81  42 100 38.94 286.3  15.6   0.05    4
48771.8 1992 150 71974  23  23.12  -82.24  23 100 35.33 291.1  19.3   0.11   -5
48772.8 1992 151 70910  18  23.10  -82.67  31 100 30.82 289.3  21.7   0.49  -10
48773.8 1992 152 69845  14  23.12  -82.44  16 100 26.91 295.3  25.0  -0.11    1
48774.8 1992 153 68780  10  23.04  -82.52  14 100 22.70 286.5  19.3   0.40   -3
48775.8 1992 154 67716   7  22.94  -82.41   5 100 18.67 284.7  39.0  -0.28    1
48776.8 1992 155 66651   5  22.86  -81.92  51  99 14.99 279.1  45.6  -0.20   -3
48777.8 1992 156 65579   3  22.98  -82.23  17 100 10.54 277.8  35.5   0.46   -8
48778.8 1992 157 71154  32  22.92  -82.20  22  99 31.88 274.9  86.8   0.56   -4
48779.8 1992 158 70089  30  23.10  -82.02  41 100 27.91 282.0  65.9   0.00  -11
48780.8 1992 159 69025  27  23.20  -82.16  35 100 23.66 289.3  40.1   0.43   -5
48781.8 1992 160 67968  23  22.82  -82.36  18  99 19.40 291.5  10.3  -0.19   -5
48782.8 1992 161 66903  19  22.88  -82.17  26  99 15.44 298.1  49.3  -0.03   -6
48783.8 1992 162 65839  14  22.83  -82.53  21 100 10.98 296.2  22.9   0.77   -3
48784.7 1992 163 64766  10  23.17  -82.64  32 100  6.70 291.5  13.4   0.44   -6
48785.7 1992 164 63702   7  23.06  -82.53  16 100  2.69 270.0  39.8   1.53  -25
48786.7 1992 165 62638   5  22.96  -82.02  39  99  1.02 289.0  15.6  -0.08    0
48787.7 1992 166 61565   3  23.08  -82.32  14 100  5.41 290.9  55.0  -0.11    5
48788.8 1992 167 67141  32  22.99  -82.38   2 100 15.86 288.5  86.8  -0.04   -1
48789.8 1992 168 66076  30  23.15  -82.19  29 100 11.91 301.0  40.3   0.64   -5
48790.8 1992 169 65020  27  22.80  -82.30  22  99  7.74 302.7  33.9   0.31   -5
48791.7 1992 170 63955  23  22.84  -82.50  19 100  3.44 297.7  34.3   0.57  -22
48792.7 1992 171 62891  19  22.89  -82.29  15  99  0.77 294.8  19.5   0.55   -4
48793.7 1992 172 61827  14  22.82  -82.64  30 100  5.03 291.0  13.4  -0.13  -13
48794.7 1992 173 60754  10  23.15  -82.75  40 100  9.24 287.5  12.1   0.28   -7
48795.7 1992 174 59690   7  23.03  -82.61  22 100 13.25 282.5  15.1   0.55   -6
48796.7 1992 175 58625   5  22.95  -82.10  31  99 16.91 282.9  46.2   0.38   -2
48797.7 1992 176 57553   3  23.07  -82.38  10 100 21.30 273.8  88.6  -0.04   -3
48798.7 1992 177 63128  32  22.96  -82.54  15 100  0.44 278.7  88.8  -0.24    1
48799.7 1992 178 62064  30  23.11  -82.33  16 100  4.09 273.8  18.2   0.23   -7
48800.7 1992 179 61008  27  22.76  -82.43  25 100  8.29 270.8  14.9  -0.20   -6
48801.7 1992 180 59943  23  22.81  -82.63  30 100 12.59 274.6  13.5   0.62   -3
48802.7 1992 181 58879  19  22.86  -82.41  13  99 16.51 275.4  17.9   0.26  -10
48803.7 1992 182 57815  15  22.88  -82.12  31  99 20.36 276.2   7.3   1.27   -6
48804.7 1992 183 56742  11  23.19  -82.09  39 100 24.46 278.9   6.3   1.44   -6
48805.6 1992 184 55678   7  22.95  -82.70  31 100 29.15 275.2   4.5   2.58   -6
48806.6 1992 185 54614   5  22.84  -82.17  28  99 32.80 277.2   6.2   1.46    0
48807.6 1992 186 53541   3  22.95  -82.44   5 100 37.16 280.5   6.0   1.92   -1
48808.7 1992 187 59117  32  22.82  -82.67  33 100 16.11 289.6  22.1   0.05  -10
48809.7 1992 188 58053  30  22.96  -82.45   6 100 20.03 297.3  18.6  -0.24    5
48810.7 1992 189 56988  27  23.04  -82.56  18 100 24.25 294.2   7.3   1.00    3
48811.6 1992 190 55924  23  23.06  -82.76  38 100 28.54 293.2   8.1   1.60    1
48812.6 1992 191 54860  19  23.09  -82.54  19 100 32.46 289.8  14.4   0.64    0
48814.6 1992 193 52732  11  23.02  -82.19  22 100 40.36 288.1  15.3   0.32   -3
48819.6 1992 198 54035  30  23.14  -82.57  25 100 35.98 294.6  14.2   1.02    1
48820.6 1992 199 52979  27  22.76  -82.67  37 100 40.19 277.1  24.1   0.44  -10
48865.9 1992 244 75117  32  22.79  -82.82  48 100 50.18 264.8  86.6   0.43  -17
48866.9 1992 245 80685   3  23.00  -82.98  59 100 71.56 268.8  42.6   0.77 -999
48867.9 1992 246 79621   4  23.00  -81.87  54 100 68.71 268.4  53.5   0.46 -999
48868.9 1992 247 78549   7  22.90  -82.76  38 100 63.99 266.5  47.1   0.91 -999
48869.9 1992 248 77485  10  23.00  -82.63  24 100 60.26 268.5  48.1   0.94   -8
48870.9 1992 249 76421  14  23.08  -82.69  32 100 56.39 277.5  18.1   0.26   -1
48871.9 1992 250 75357  18  23.08  -82.44  12 100 52.82 274.5  13.3   0.66   -9
48872.9 1992 251 74293  22  23.04  -82.18  23 100 49.28 282.5   9.9   0.05   -6
48873.8 1992 252 73229  26  22.99  -82.24  16 100 45.50 275.8  17.8   0.43  -12
48874.8 1992 253 72165  29  22.86  -82.11  33  99 41.94 278.3  24.8   0.06   -9
48875.8 1992 254 71109  32  23.16  -82.94  59 100 37.84 268.7  33.3   0.85  -10
48876.8 1992 255 70045  33  22.88  -81.81  61  99 35.27 274.0  25.8   0.64  -15
48877.9 1992 256 75605   4  22.92  -82.00  41  99 55.54 271.3  55.5   0.13    1
